Raw Yaw,Raw Pitch,Raw Roll,Speed Yaw, Speed Pitch,Speed Roll
1fd6,2150,1ef1,-4.35,-23.25,7.1
1fd4,21d4,1f2e,-4.25,-29.85,4.05
1fd9,2251,1f89,-4.5,-36.1,-0.5
2030,2363,1fc4,-8.85,-49.8,-3.45
2030,2363,1fc4,-8.85,-49.8,-3.45
2061,23c5,1fb4,-11.3,-54.7,-2.65
2061,23c5,1fb4,-11.3,-54.7,-2.65
20d1,2417,1fba,-16.9,-58.8,-2.95
2104,2419,1fc0,-19.45,-58.9,-3.25
2129,2407,1fba,-21.3,-58,-2.95
214d,238c,1f56,-23.1,-51.85,2.05
214d,238c,1f56,-23.1,-51.85,2.05
20f6,231b,1f17,-18.75,-46.2,5.2
20f6,231b,1f17,-18.75,-46.2,5.2
20b5,22c6,1f39,-15.5,-41.95,3.5
2079,22b1,1f11,-12.5,-40.9,5.5
201b,22d0,1f22,-7.8,-42.45,4.65
201b,22d0,1f22,-7.8,-42.45,4.65
200f,2.20E+03,1f15,-7.2,-43.35,5.3
2014,22c4,1f01,-7.45,-41.85,6.3
201a,22c1,1eec,-7.75,-41.7,7.35
2025,22bd,1ef0,-8.3,-41.5,7.15
2038,22c3,1f17,-9.25,-41.8,5.2
203a,22d8,1f17,-9.35,-42.85,5.2
203e,22a5,1f2d,-9.55,-40.3,4.1
203d,22cd,1f04,-9.5,-42.3,6.15
2059,22b5,1f08,-10.9,-41.1,5.95
207e,228e,1ee8,-12.75,-39.15,7.55
2091,22b6,1ee0,-13.7,-41.15,7.95
2097,2333,1ed9,-14,-47.4,8.3
2097,2333,1ed9,-14,-47.4,8.3
2042,2383,1edb,-9.75,-51.4,8.2
2042,2383,1edb,-9.75,-51.4,8.2
2017,2360,1ebc,-7.6,-49.65,9.75
1fee,2342,1eaa,-5.55,-48.15,10.65
1fd5,230a,1eb0,-4.3,-45.35,10.35
1fca,22f2,1ec1,-3.75,-44.15,9.5
1fb2,22df,1ec6,-2.55,-43.2,9.25
1fa8,22be,1eb6,-2.05,-41.55,10.05
1fa0,2298,1ea9,-1.65,-39.65,10.7
1fa0,2298,1ea9,-1.65,-39.65,10.7
1fa6,229a,1ec5,-1.95,-39.75,9.3
1fa6,229a,1ec5,-1.95,-39.75,9.3
1fb0,22c1,1eb8,-2.45,-41.7,9.95
1fb8,230a,1.00E+97,-2.85,-45.35,11.6
1f98,235d,1.00E+06,-1.25,-49.5,18.85
1f98,235d,1.00E+06,-1.25,-49.5,18.85
1f6a,2382,1.00E+99,1.05,-51.35,11.5
1f6a,2382,1.00E+99,1.05,-51.35,11.5
1fb9,2347,1.00E+93,-2.9,-48.4,11.8
1fb9,2347,1.00E+93,-2.9,-48.4,11.8
2009,2325,1.00E+70,-6.9,-46.7,13.55
20ac,2333,1eea,-15.05,-47.4,7.45
20ac,2333,1eea,-15.05,-47.4,7.45
20de,2332,1ee6,-17.55,-47.35,7.65
20ef,230e,1ee7,-18.4,-45.55,7.6
20cd,22f8,1ee9,-16.7,-44.45,7.5
2066,2328,1f40,-11.55,-46.85,3.15
2066,2328,1f40,-11.55,-46.85,3.15
2015,236d,1f59,-7.5,-50.3,1.9
2015,236d,1f59,-7.5,-50.3,1.9
2005,23a7,1f76,-6.7,-53.2,0.45
2005,23a7,1f76,-6.7,-53.2,0.45
2021,239c,1fd3,-8.1,-52.65,-4.2
2021,239c,1fd3,-8.1,-52.65,-4.2
2068,23a3,1fdc,-11.65,-53,-4.65
208b,23b7,1fe0,-13.4,-54,-4.85
208b,23b7,1fe0,-13.4,-54,-4.85
2090,23c0,1ffa,-13.65,-54.45,-6.15
2083,23c9,2012,-13,-54.9,-7.35
2057,23d9,2004,-10.8,-55.7,-6.65
1fb6,23fe,1fe4,-2.75,-57.55,-5.05
1fb6,23fe,1fe4,-2.75,-57.55,-5.05
1f72,23bb,200b,0.65,-54.2,-7
1f5f,235f,2035,1.6,-49.6,-9.1
1f5e,230e,2058,1.65,-45.55,-10.85
1f6c,22c1,204b,0.95,-41.7,-10.2
1f92,2287,207c,-0.95,-38.8,-12.65
